user_account,balance_ether,balance_value,total_transactions,sent,received,n_contracts_sent,n_contracts_received,classification
0x502e0d5589d14af763c273aa0597cc39c94710a2,0.00218638,0.86,10841,0,508,508,0,0
0x5c8a9f68eff7df9f291ce8408b797c4e7b9a95cb,0.0037259719687909,1.46,118357,990,8736,6222,0,0
0x31a4cf1e7975a06a752f435c30965cd2150e8e44,0.00197798,0.77,10853,0,523,523,0,0
0x1ec4793da410aac99aa9617cedf9af6858383708,0.00214308,0.84,7845,1,442,442,0,0
0xbef295878a475552e50c759a772dfb27ec800a95,0.0,0.0,4,0,1,0,0,0
0x53552a98546a20e7c4083c7ba0315396ac13da47,0.0003679073,0.14,23,0,2,2,0,0
0xd8e72914acf9ab512ee48290724bbac88a5dd1e4,0.005096412543381,1.99,1431,0,115,114,0,0
0x95b3e26b2ce77437f88093e31a98ea88cc4c9d4a,0.0363239068,14.21,43,0,1,1,0,0
0x6a762621bea7cd3d75e2971abcb95ed410e3183d,0.0076528745542716,2.99,1870,0,2,0,0,0
0x684ec37b333d853914c6eb730494f5f0869e9158,0.0005474029,0.21,21,0,3,3,0,0
0x29146ea0108bbcb6c78925248423383639125c8a,0.0001049999999998,0.04,33963,0,486,226,0,0
0xf808baeac30cc5f8d1f0eaf20218bebb3893fe86,0.3344860303031332,130.9,14609,1,1605,1605,0,0
0xade4dc6acc18961de1ddf482a0addca1416acbdd,0.0023830828,0.93,2,0,1,1,0,0
0x308d19f474f3d65304a67128e46d5bc3b9ab4469,6.03643e-05,0.02,16,0,2,2,0,0
0x9acf01bc169ee19066e9910dc0bc8e60530e6d7e,0.00159412,0.62,10848,0,515,515,0,0
0xc9861d1e3adc377a77928bc62fb70d2fb90fd61d,1.7794112438474e-05,0.01,11318,0,327,327,0,0
0x1bd4ffb682a09d51b0c10541652b9b7b99e9495d,0.0077940469381963,3.05,22,0,1,1,0,0
0x7f6edc18a53af9349d2f59173002bcace448cd50,0.0012215821748928,0.48,50,0,1,1,0,0
0x1deb9f0c0c1cc59824d13fb7cbbb0cef62bfc5c4,6.04283e-05,0.02,16,0,1,1,0,0
0x3cf2dbb5bfc0ec8d921ff85dbd7d33d1e23cca7e,0.0002391558,0.09,23,0,2,2,0,0
0xe81565140c7bbf7614fc0a55b8b8e484832c5a62,0.0,0.0,6010,0,237,237,0,0
0x1550318d0bc8938b3ad0a2b000e00e14747742c0,14.541062474704432,5690.5,4245,2,76,50,0,0
0x4876c822a477f3680bb8e9a80b9691d34dab4a44,0.0,0.0,21,0,1,1,0,0
0x024f4c0a66692184014394ee83f14c2ff314d16c,0.000946328,0.37,12,0,1,1,0,0
0x5b35d968af9288eeb46bdc9012f2fb2acb072482,0.00224896,0.88,10886,0,518,518,0,0
0x71f992ae7d25bc6d8f59dcfb7ef8d3f0ccb62fad,0.00029925,0.12,8,1,1,1,0,0
0x2dbb99db2ed188ec283c1764113ea3209b39abd1,0.01271914,4.98,25,0,3,1,0,0
0x92f57ffcf3b66859871e929285d20c71531d20ef,0.0,0.0,6,0,1,1,0,0
0xe91e1369b5c516d75e5ac73a438c89902e6c9041,0.0004782259,0.19,22,0,2,2,0,0
0x02246de4cba347795401638d2069100902905183,0.000669204,0.26,2,0,1,1,0,0
0x62b9facd947c9f4bf66d13579e8787fd4fa4d78a,0.000665,0.26,63,0,3,3,0,0
0x6450d0b1955cfa2d044126379c3453b996cd83e2,0.0005067139,0.2,21,0,3,3,0,0
0x0a0d493449c968f89d14b3072f498f34e942c655,0.044245598125,17.34,11,0,2,0,0,0
0x5b9fe4717ddd373e9f8c67332b8ccf60d6797596,0.0075279097999997,2.95,331,1,2,0,0,0
0xfd2b9cce6bb866ed7ef58ecc576fabb0a96cab6b,0.0004782259,0.19,22,0,4,4,0,0
0xa6f68dfa9224186e0e83882d637b6d7691b5dc98,1.58614e-05,0.01,49,0,5,3,0,0
0x907dd74c83de17ff1d26c78c7a17b2a6c37f5891,0.0,0.0,828,0,21,17,0,0
0x65e4bca0817ad085c4a15862b2116ef728ce4e13,1.000000739889e-06,0.01,54,0,5,2,0,0
0x021754ea16c922f61c3125bf2f78134ddef0a300,0.0799817047,31.34,24,0,5,2,0,0
0x5884b5153e48b5f453e7d7579281a53d7c542bfb,0.0005474029,0.21,21,0,4,4,0,0
0x531cb39c56c617b332da1dda26b8a3fa38a6f42b,0.0294492594,11.54,8,0,2,2,0,0
0x528fb0c783cdfd97e3ff3da5fdf01537935e4da2,0.0004782259,0.19,22,0,2,2,0,0
0x0045e96182b0bba0b6cdbac1f645e482fbb4ce06,12.432196865560757,4871.31,194,0,3,2,0,0
0xf287aef1d7949d2d33946d41c809a9504e05f888,0.0004782899,0.19,22,0,3,3,0,0
0xa75fb372079eaa8050fae01ee05b6166c1d4aca0,0.0002250987117504,0.09,901,1,13,11,0,0
0xd717d5d2136e8d7e6fdc33326fce24ef458a95c6,0.045361,17.77,33,0,20,0,0,0
0xfbfee21ff782e18f6cf06a45a03b2ea9c60a79d0,0.0005217139,0.2,21,0,1,1,0,0
0x5f1852ec91e4e65ff91fde1bb8e9fb60802103de,0.0,0.0,14,0,1,1,0,0
0x0c262dd6f5df6dcc79b1bdc02efa4da0ae46006a,0.0599798372074235,23.5,2375,0,44,36,0,0
0xbd771b1cada2790945bc1b636db4a7e52a27099f,0.0006753544655459,0.26,4,0,1,1,0,0
0xc6afab1c121d5ef8f3199811343efc0c807f7ec6,0.0,0.0,90,0,12,0,0,0
0x2666de46aa6879af3ac7f5e091fdd0c9a34e66e3,0.0,0.0,17226,0,1224,1224,0,1
0xc3314b89f3a3318f4c817e88aaceff22625c7cd5,0.0004782259,0.19,22,0,2,2,0,0
0x6709e876f3310d87634cc083aec19c9f8e5e096f,0.0060224845125,2.36,47,0,1,1,0,0
0x725735f73c677f33e5b7b5f85304150657c7e238,0.0004782259,0.19,22,0,1,1,0,0
0xd7d33421cc7e96b035ec4ce86ac62c3365144458,0.0,0.0,8,0,1,1,0,0
0xb1298e180afd7e3450e7f1c9c46d729b070e2c65,0.0,0.0,114281,1309,1034,0,0,0
0xacc7441d1f5ff5b5b7e87d50165e81c1edf162c0,2.469e-05,0.01,9,0,1,1,0,0
0xce113e3274c634fe1af6e021677fa4c185485af2,0.0,0.0,10,0,1,0,0,0
0x6e225d9930b51e40bf1957482c3913b4cbd66aa2,0.0087863148,3.44,6,0,1,1,0,0
0x673f1641aea8e5e961b150f25201ae1a1354b6dd,0.0003321415408213,0.13,2,0,1,1,0,0
0xdb6ccffbec9e61e12f9c15a5f1bb9bfd60e66ed6,0.0005801777861285,0.23,2755,0,134,121,0,0
0xaa10d045437ad9013ad6e0c90e624600bf602294,0.0,0.0,101,2,1,0,0,0
0xecd9c597a6595ea34004fa8b56014b2c67822192,0.0961769028300517,37.68,34,0,4,4,0,0
0x9c487a9a39bcbef6e42185ed8e6acfa757c786f8,6.03643e-05,0.02,16,0,1,1,0,0
0x89fc36215e3c5a4923ab2eb9d0448e8c6484b097,0.0018935,0.74,10853,1,493,493,0,0
0xd7f9ca9eb8191dd7debb9ff789f2ee32a902c96a,4.4878e-05,0.02,3,0,1,1,0,0
0x1d4da6dc0940c29fec745cf8f17662bf946cc97d,0.2363306222056791,92.6,854,1,11,0,0,0
0xe69c2e32aeef90b622240e1e828e1cd060132ffd,0.247312373,96.9,11350,0,278,278,0,0
0xe004d2619bb803f6b7f7108339d930113f3f6bde,0.00196194,0.77,10851,0,496,496,0,0
0xc711353c39649b0eeefbd9e8723d480da62f5466,0.0095,3.72,414,0,25,25,0,0
0xf6b0bff7d51019673f27e4348b17d4509efde08b,0.0002038389,0.08,23,0,2,2,0,0
